aid_from,aid_to,step_from,step_to
a35,a32,6,2
a35,a32,7,3
a35,a32,8,4
a35,a32,9,-1
a35,a32,10,5
a35,a32,11,6
a35,a32,12,-1
a35,a32,13,7
a35,a32,14,12
a35,a33,0,-1
a35,a33,1,-1
a35,a33,2,0
a35,a33,3,1
a35,a33,4,-1
a35,a33,5,-1
a35,a33,6,2
a35,a33,7,3
a35,a33,8,4
a35,a33,9,-1
a35,a33,10,5
a35,a33,11,6
a35,a33,12,-1
a35,a33,13,7
a35,a33,14,8
a35,a34,0,-1
a35,a34,1,-1
a35,a34,2,0
a35,a34,3,1
a35,a34,4,-1
a35,a34,5,2
a35,a34,6,3
a35,a34,7,4
a35,a34,8,5
a35,a34,9,-1
a35,a34,10,7
a35,a34,11,8
a35,a34,12,-1
a35,a34,13,9
a35,a34,14,14
